,logFC,AveExpr,t,P.Value,adj.P.Val,B
mmu-miR-190b-5p,-2.07143180917657,1.82019815630179,-2.75736294917954,0.0186401008446612,0.0357105089866141,-3.463481829388
mmu-miR-20a-3p,-1.8861643482031,0.477844021165764,-2.74423295537238,0.0190829323102032,0.0362845486010984,-3.37128267250647
mmu-miR-379-5p,-2.03752531966774,4.38718925268032,-2.74258919242688,0.0191391025588211,0.0362845486010984,-3.71276949652208
mmu-miR-669a-5p/mmu-miR-669p-5p,-1.86528883353511,1.50523776443785,-2.70569999456079,0.0204437717268479,0.0384636053106673,-3.51291843345836
mmu-miR-700-3p,0.769509756351854,4.16185731953804,2.70416769282091,0.0204998335996414,0.0384636053106673,-4.01117293548034
mmu-miR-324-5p,0.603120209483284,5.75197229461549,2.69794458107626,0.0207290876520409,0.0386795528689467,-4.30003948738369
mmu-miR-125b-1-3p,0.728916544042483,7.51180074430913,2.69529537844626,0.0208274515448175,0.0386795528689467,-4.34632030747767
mmu-miR-374b-5p,-1.94512837852231,3.84353496888917,-2.65775531669663,0.0222720131010908,0.0411523490801882,-3.79539404052334
mmu-miR-150-3p,0.771819790541634,3.7959452283398,2.64678104554131,0.0227127286771811,0.0417547133257269,-3.99879294786517
mmu-miR-151-3p,0.624862269567803,13.6628123500707,2.6417440830347,0.0229178829285855,0.0419201476683674,-4.30153237810357
mmu-miR-24-1-5p,-0.846084621211977,4.24317477175595,-2.63771028571559,0.0230834975709134,0.0420119655790625,-3.99793193457357
mmu-miR-126a-3p,-2.0839845870573,12.85207797685,-2.60409124722305,0.0245105262619448,0.044387221688298,-4.3870458513985
mmu-miR-485-5p,0.905017862392208,2.75648048423201,2.59764616782904,0.0247938723768025,0.044557094702005,-3.78346702500455
mmu-miR-470-5p,-2.2161835686048,1.7098376443742,-2.59477676130001,0.0249210563270158,0.044557094702005,-3.73419256244944
mmu-miR-28a-5p,0.533918725805124,9.03573861714452,2.59364137500877,0.0249715585692555,0.044557094702005,-4.51002499370955
mmu-miR-369-5p,-1.68593467877715,1.9958896183239,-2.5461048623515,0.0271788003995014,0.048258943148383,-3.8257935759205
mmu-miR-540-3p,0.579393575089787,4.05889833842449,2.54228691001481,0.0273641734602259,0.0483522288326321,-4.25221194713172
mmu-miR-340-3p,-1.10761028790079,4.68991070203032,-2.53382290868071,0.0277795611858074,0.0488490834378449,-4.23683935569103
mmu-miR-671-3p,0.635251076906498,7.59496545336343,2.51933496142084,0.0285049824226466,0.0498837192396315,-4.65387141461022
