logFC	AveExpr	t	P.Value	adj.P.Val	B
mmu-miR-141-3p	-0.605012555125483	4.12016562781314	-3.62058591996573	0.0035171926589786	0.0220410739962659	-2.12343830654991
mmu-miR-1943-5p	-0.423624855292339	5.28625028843584	-3.56529176946219	0.00389270483119858	0.0239943773201749	-2.32577132799343
mmu-miR-152-5p	0.50612696212915	6.50541049046749	3.52844618800936	0.00416543141767768	0.025261326016884	-2.43742433373809
mmu-miR-532-5p	0.478810761234636	8.04112796705387	3.48651689063058	0.00449959595586226	0.0268547314191145	-2.5427960943404
mmu-miR-30a-3p	-0.496080205598185	10.8077095822868	-3.43292457351385	0.00496681017503576	0.0290129262701823	-2.67923209818569
mmu-miR-30d-3p	-0.346197471087083	7.48766259649101	-3.42763384514442	0.00501553246691981	0.0290129262701823	-2.64531862805997
mmu-miR-99a-5p	0.476711919607869	10.8544194283428	3.40480792161501	0.00523136736317339	0.0298029413417151	-2.73124513573825
mmu-miR-455-5p	-1.0296131523486	7.52110546548884	-3.36766521392344	0.00560293638842495	0.03136155125703	-2.75602934791577
mmu-miR-34b-5p	1.62754438594372	2.87868008973963	3.36105967812173	0.00567176990818628	0.03136155125703	-2.04501029882553
mmu-miR-154-5p	0.93698185952105	2.51614198989685	3.30527634491416	0.00628834198546955	0.0342669070512544	-2.12589916890782
mmu-miR-30b-5p	-0.706863579552854	11.7028655879792	-3.27346540989537	0.00666989955761671	0.0358268890523412	-2.97879376468234
mmu-miR-410-3p	0.770672944688807	5.45722742169364	3.23065305555015	0.007220637650001	0.038238869808456	-2.94431925804014
mmu-miR-328-3p	-0.558153464078634	9.97471377262062	-3.19288146077486	0.00774454625603815	0.0404437415593103	-3.11578025010078
mmu-miR-29c-5p	-0.507833836793319	4.19089464152372	-3.17799585882313	0.00796139594593839	0.0410066421325046	-2.94453619502059
mmu-miR-185-5p	-0.500512258030359	6.46185918465144	-3.16025457475578	0.00822784960383503	0.0418063709600267	-3.1170615847831
mmu-miR-208a-3p	-0.669925839407984	9.79417388901494	-3.1431000045644	0.00849402481733239	0.0425833777508931	-3.20509274573876
mmu-miR-3098-5p	-0.841937058306299	2.80290731484765	-3.11932390906802	0.00887732197366098	0.043919382396007	-2.61556480215499
mmu-miR-34b-3p	1.00117096852295	3.21952726328239	3.10014688232072	0.00919910466206399	0.0449203032848839	-2.709531523511
mmu-miR-187-3p	-0.615458661938662	4.74016713452648	-3.07922458272919	0.00956354477250287	0.0458646019056218	-3.18326948919426
mmu-let-7d-5p	-0.537831036934294	11.528630372612	-3.07513551973024	0.00963644561314926	0.0458646019056218	-3.34374638607044
mmu-miR-3098-3p	-0.949951482102399	2.5483810904685	-3.06564578156581	0.00980778552142356	0.0460965919506907	-2.59879998068121
mmu-miR-381-3p	0.421391195117196	5.41082739738572	3.03294649347084	0.0104219062546205	0.0483782315029299	-3.30823849129929
