miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq
mmu-miR-195a-3p	248	222	239	179	212	383	491	460	523	338
mmu-miR-376c-3p	14	10	9	10	14	15	17	20	28	19
mmu-miR-219a-1-3p	46	39	43	29	37	26	53	29	27	42
mmu-miR-34b-3p	20	21	18	24	29	30	46	92	83	42
mmu-miR-338-3p	586	388	529	391	412	263	400	331	359	291
mmu-miR-496a-3p	8	0	0	0	0	10	0	16	20	9
mmu-miR-140-3p	4843	3782	3465	2239	3716	8851	8703	11754	12126	8267
mmu-miR-3061-3p	76	47	48	39	45	70	80	72	103	41
mmu-miR-676-3p	565	662	643	469	654	690	1124	988	764	703
mmu-miR-181c-3p	870	662	504	363	682	730	850	679	985	520
mmu-miR-379-3p	24	16	19	18	17	18	31	49	46	25
mmu-miR-190a-3p	12	10	5	10	11	0	10	15	22	6
mmu-miR-153-3p	68	59	74	67	128	57	81	83	105	58
mmu-miR-540-3p	35	35	29	35	45	35	38	47	53	43
mmu-miR-483-3p	44	69	38	0	66	36	0	51	36	27
mmu-let-7g-3p	77	69	56	59	67	39	64	78	71	67
mmu-miR-152-3p	1593	1194	1104	787	1087	1401	1627	1629	2626	1273
mmu-miR-200b-3p	0	12	16	13	0	8	11	26	17	16
mmu-miR-215-3p	25	9	15	14	0	14	16	21	17	14
mmu-miR-300-3p	129	143	129	81	123	227	277	364	446	233
mmu-miR-673-3p	39	25	24	0	60	34	54	47	48	25
mmu-miR-666-3p	8	14	0	16	15	10	16	20	22	11
mmu-let-7d-3p	4554	4608	4945	3280	3924	2330	5129	3974	4809	4257
mmu-miR-19a-3p	103	50	48	60	67	61	64	60	143	52
mmu-miR-381-3p	153	114	140	85	120	180	207	196	268	215
mmu-miR-101b-3p	2823	1764	1611	1417	1649	2470	2471	2227	3996	1752
mmu-miR-363-3p	0	13	12	8	0	5	12	9	17	0
mmu-miR-322-3p	1075	732	772	529	732	744	1025	1055	1585	722
mmu-miR-107-3p	3148	2961	2572	1623	2331	3008	3767	2986	3962	2532
mmu-miR-542-3p	100	54	69	48	88	135	93	70	207	51
mmu-miR-223-3p	529	732	443	327	576	432	699	831	982	683
mmu-miR-29c-3p	5599	3366	3950	3086	3828	1774	3942	2826	4046	3007
mmu-miR-3109-3p	13	14	0	17	21	14	17	20	33	17
mmu-miR-139-3p	101	84	76	52	60	44	82	67	48	47
mmu-miR-3065-3p	105	121	123	149	207	153	311	192	114	75
mmu-miR-329-3p	0	90	0	0	49	94	74	76	83	31
mmu-miR-106b-3p	258	237	218	194	234	239	341	258	305	191
mmu-miR-299a-3p	20	16	0	0	15	25	21	20	19	16
mmu-miR-10b-3p	0	0	12	13	12	12	11	21	13	6
mmu-miR-7a-1-3p	46	35	34	33	56	32	67	37	67	34
mmu-miR-421-3p	262	225	226	157	223	272	319	371	471	243
mmu-miR-28a-3p	622	634	573	358	548	717	875	759	987	648
mmu-miR-26b-3p	204	193	209	148	160	54	243	172	163	151
mmu-miR-433-3p	22	23	20	29	42	41	48	56	45	20
mmu-miR-574-3p	555	524	467	339	452	542	1181	1295	1306	941
mmu-miR-191-3p	136	109	104	82	88	74	142	136	143	99
mmu-miR-324-3p	66	72	67	48	69	45	96	91	100	66
mmu-miR-133b-3p	21219	18847	17012	11229	15003	8578	21745	14754	17688	9211
mmu-let-7f-1-3p	274	219	237	148	202	132	235	189	279	198
mmu-miR-30a-3p	8839	8127	7828	4756	6224	6253	7915	5692	7108	5726
mmu-miR-30c-2-3p	1063	1037	1184	687	832	677	1034	730	732	686
mmu-miR-127-3p	5790	6207	5198	3335	5466	15258	13627	16776	19882	10956
mmu-miR-125b-2-3p	2835	2124	2286	1335	2065	2482	3284	3455	4402	2473
mmu-miR-208b-3p	1060	746	564	601	848	15264	10492	22439	34711	8218
mmu-miR-410-3p	136	118	93	93	117	260	170	306	480	137
mmu-miR-744-3p	97	65	59	52	75	34	77	69	93	79
mmu-miR-210-3p	559	606	443	281	454	672	739	1178	1710	521
mmu-miR-532-3p	44	60	52	34	65	20	75	79	69	62
mmu-miR-874-3p	181	140	161	94	118	54	160	102	111	89
mmu-miR-129-2-3p	41	0	44	0	0	0	37	39	25	30
mmu-miR-125a-3p	66	72	65	45	81	64	104	82	75	58
mmu-miR-132-3p	1699	1608	1146	907	1123	1828	1971	2658	4547	1158
mmu-miR-1933-3p	28	18	12	14	25	43	25	34	58	22
mmu-miR-326-3p	124	132	106	83	121	69	201	234	241	128
mmu-miR-337-3p	15	13	12	0	22	11	15	16	20	12
mmu-miR-499-3p	113	48	60	68	92	37	89	65	70	59
