miRNA	165_sham 1_R1.fastq	175_sham 2_R1.fastq	189_sham 3_R1.fastq	606_sham 4_R1.fastq	608_sham 5_R1.fastq	156_TAC 1_R1.fastq	157_TAC 2_R1.fastq	541_TAC 3_R1.fastq	612_TAC 4_R1.fastq	631_TAC 5_R1.fastq	533_TAC+PDE5AI 1_R1.fastq	536_TAC+PDE5AI 2_R1.fastq	627_TAC+PDE5AI 3_R1.fastq	647_TAC+PDE5AI 4_R1.fastq	697_TAC+PDE5AI 5_R1.fastq	151_TAC+PDE9AI 1_R1.fastq	528_TAC+PDE9AI 2_R1.fastq	529_TAC+PDE9AI 3_R1.fastq	531_TAC+PDE9AI 4_R1.fastq	542_TAC+PDE9AI 5_R1.fastq	676_TAC+PDE9AI 6_R1.fastq
mmu-miR-212-3p	285	315	273	205	444	284	376	403	777	221	216	805	140	130	115	471	324	484	398	138	270
mmu-miR-212-5p	68	58	32	26	73	46	83	100	219	68	42	68	26	23	17	85	78	102	79	18	56
mmu-miR-214-3p	381	373	286	279	452	788	1731	2202	2569	1220	1158	815	737	873	889	1710	688	2533	4930	364	387
mmu-miR-214-5p	128	127	100	71	115	252	536	637	746	324	153	143	63	83	51	570	191	577	1134	40	135
mmu-miR-215-3p	25	9	15	14	0	14	16	21	17	14	0	0	0	0	0	26	13	16	19	0	0
mmu-miR-215-5p	775	332	589	548	343	987	681	663	883	491	49	113	0	0	0	931	659	405	755	5	580
mmu-miR-218-1-3p	22	6	16	12	35	20	33	15	19	8	15	14	0	6	14	29	10	26	52	6	21
mmu-miR-218-5p	162	143	71	62	173	154	210	195	212	74	38	57	7	0	0	200	95	135	503	0	135
mmu-miR-219a-1-3p	46	39	43	29	37	26	53	29	27	42	25	50	19	20	24	40	31	39	45	27	30
mmu-miR-219a-5p	44	23	34	19	32	18	24	18	28	12	0	9	0	0	0	24	30	21	31	0	18
mmu-miR-21a-3p	120	138	120	91	153	335	197	733	828	231	66	92	21	32	15	247	206	371	693	22	57
mmu-miR-21a-5p	16020	15751	12473	9814	14717	44628	39963	67466	137223	29524	3220	5022	191	227	362	57570	27811	53172	131418	314	11888
mmu-miR-22-3p	1483577	953804	1100406	730202	960698	725515	1203982	1040025	1596831	930324	552284	767291	194129	133533	95173	1254454	1130561	1055155	1320332	192824	998259
mmu-miR-22-5p	670	555	450	271	424	187	622	508	697	501	224	272	21	14	9	574	492	426	720	25	411
mmu-miR-221-3p	2790	3110	2184	1747	1987	4527	4816	5068	5682	3568	2828	3236	1934	1509	959	4708	3245	5609	5555	1172	2255
mmu-miR-221-5p	50	40	33	35	29	50	63	61	100	41	34	49	11	10	5	88	77	67	110	10	57
mmu-miR-222-3p	927	1077	1065	792	876	1522	1757	2749	2957	1457	1410	1532	1019	928	553	1830	1561	2738	2512	571	987
mmu-miR-222-5p	24	40	34	26	44	56	46	72	80	39	24	35	5	7	0	59	32	44	42	6	53
mmu-miR-223-3p	529	732	443	327	576	432	699	831	982	683	128	178	16	13	6	661	654	636	1263	16	349
mmu-miR-223-5p	21	38	9	18	34	21	0	42	37	17	13	26	0	0	0	33	21	36	46	0	24
mmu-miR-224-5p	74	87	78	39	77	105	251	309	339	141	150	103	25	26	15	321	95	296	603	29	78
mmu-miR-23a-3p	18945	14848	11951	8299	11191	15056	22513	24854	29013	12459	10724	9088	3196	2723	1668	26433	13936	28265	24899	3789	17265
mmu-miR-23a-5p	18	17	15	0	9	0	14	20	13	8	5	13	7	0	10	16	0	21	16	8	0
mmu-miR-23b-3p	15578	15806	11178	7463	11073	18084	27884	31117	36254	16311	13386	12652	7404	6548	4357	28607	16277	35675	25377	5924	14679
mmu-miR-23b-5p	0	12	8	11	0	0	12	20	16	16	0	19	0	3	9	23	13	24	26	8	0
mmu-miR-24-1-5p	62	41	48	30	60	51	102	91	155	67	24	47	16	8	5	94	78	86	111	0	53
mmu-miR-24-2-5p	3155	2190	2249	1520	2287	1455	3508	4150	6401	2643	940	1428	165	117	68	3167	3284	3214	4131	173	2097
mmu-miR-24-3p	10884	9130	7261	3684	7169	13575	16607	15098	24339	11827	6912	8215	2222	1612	913	15393	10686	14448	20450	1485	6447
mmu-miR-25-3p	7447	6241	5768	4170	5518	7158	8443	6628	8433	6225	3863	5155	1621	1412	701	7791	6421	7199	10245	1665	5002
mmu-miR-25-5p	29	19	17	14	34	15	43	31	31	16	19	28	9	13	14	40	23	26	24	18	26
mmu-miR-26a-2-3p	34	26	27	26	33	15	30	27	35	28	0	6	0	0	0	39	23	16	40	4	27
