"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"mmu-miR-1a-1-5p",14.1268560719685,-2.84378768298918,0.565651795667684,-5.02745276293595,4.97037867942445e-07,8.49698069482561e-06
"mmu-miR-3068-3p",69.6271807387005,-2.06397337497176,0.414242257346162,-4.98252734570002,6.27591180605645e-07,1.02411469926103e-05
"mmu-miR-201-5p",15.1272697190423,-3.00445599540442,0.609556304216309,-4.92892284867297,8.26842156484245e-07,1.29059275729497e-05
"mmu-miR-144-5p",196.652179348722,-3.11019864944809,0.634451829475066,-4.90218249038925,9.47777267738896e-07,1.41771682965943e-05
"mmu-miR-208a-3p",1002.1228571232,-3.48150002300284,0.724527142981887,-4.80520303031612,1.54594545376441e-06,2.2199776716057e-05
"mmu-miR-199a-3p/mmu-miR-199b-3p",13824.6816943913,-2.23539126759426,0.467605934964885,-4.78050234277315,1.74857720963134e-06,2.41438160868328e-05
"mmu-miR-27a-3p",10588.1429828847,-1.66519027793802,0.350958560986693,-4.74469200368405,2.08823823580641e-06,2.77658343205371e-05
"mmu-miR-223-3p",247.655270786193,-2.55651281619709,0.542447096907925,-4.7129256120455,2.441853558097e-06,3.08396527288168e-05
"mmu-miR-140-5p",220.229688983679,-2.00611800625354,0.426031723768047,-4.70884653497251,2.49122542934731e-06,3.08396527288168e-05
"mmu-miR-874-5p",33.6128153636902,1.24419047713948,0.265062448536514,4.69395225166377,2.67976607298253e-06,3.20678673400242e-05
"mmu-miR-101a-3p",5338.70401856871,-4.54558021036877,0.979672494784353,-4.63989775620816,3.48581597731393e-06,4.03679979308291e-05
"mmu-miR-381-3p",87.0599451679974,-1.42223099574548,0.307912115926362,-4.61895106487334,3.85684793989803e-06,4.19578306188907e-05
"mmu-let-7a-1-3p/mmu-let-7c-2-3p",292.640704911703,-4.24878886445478,0.919433804184814,-4.62109272588888,3.81724102823481e-06,4.19578306188907e-05
"mmu-miR-455-5p",179.555318561936,-3.81037260058857,0.828698288937303,-4.59802156159254,4.26521862639082e-06,4.50356907904207e-05
"mmu-miR-582-5p",13.881008619982,-2.86898067871811,0.629985430742098,-4.55404290118037,5.26246165840838e-06,5.39778210105316e-05
"mmu-miR-99a-3p",92.2693351636768,-1.09005194822055,0.24086355960457,-4.52559926462145,6.02246047435935e-06,6.00573141748613e-05
