	miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
142	mmu-miR-221-3p	2790.0	3110.0	2184.0	1747.0	1987.0	4527.0	4816.0	5068.0	5682.0	3568.0	2828.0	3236.0	1934.0	1509.0	959.0	4708.0	3245.0	5609.0	5555.0	1172.0	2255.0
143	mmu-miR-129-2-3p	41.0	0.0	44.0	0.0	0.0	0.0	37.0	39.0	25.0	30.0	30.0	54.0	0.0	0.0	0.0	36.0	0.0	34.0	36.0	0.0	38.0
144	mmu-miR-1249-3p	261.0	264.0	239.0	148.0	214.0	176.0	360.0	256.0	336.0	263.0	243.0	220.0	188.0	175.0	192.0	309.0	181.0	334.0	389.0	175.0	193.0
145	mmu-miR-3098-3p	22.0	24.0	29.0	20.0	40.0	18.0	18.0	24.0	18.0	12.0	6.0	34.0	9.0	10.0	0.0	43.0	15.0	33.0	21.0	5.0	42.0
146	mmu-miR-1933-3p	28.0	18.0	12.0	14.0	25.0	43.0	25.0	34.0	58.0	22.0	15.0	18.0	10.0	10.0	0.0	33.0	28.0	35.0	27.0	0.0	29.0
147	mmu-let-7c-1-3p	96.0	55.0	82.0	83.0	75.0	46.0	87.0	102.0	128.0	75.0	10.0	30.0	5.0	0.0	0.0	96.0	93.0	77.0	79.0	0.0	64.0
148	mmu-miR-543-3p	6.0	8.0	12.0	0.0	0.0	10.0	12.0	11.0	22.0	0.0	8.0	8.0	4.0	0.0	0.0	14.0	0.0	13.0	14.0	0.0	0.0
149	mmu-miR-98-3p	140.0	114.0	118.0	96.0	140.0	107.0	173.0	141.0	212.0	116.0	9.0	18.0	0.0	0.0	3.0	106.0	125.0	96.0	125.0	0.0	82.0
150	mmu-miR-148a-3p	58758.0	35403.0	37287.0	24062.0	28643.0	66179.0	42168.0	41374.0	68245.0	39741.0	5032.0	9325.0	980.0	920.0	1203.0	51474.0	44770.0	37028.0	74704.0	1034.0	32120.0
151	mmu-miR-181c-3p	870.0	662.0	504.0	363.0	682.0	730.0	850.0	679.0	985.0	520.0	279.0	419.0	136.0	110.0	77.0	529.0	625.0	630.0	847.0	125.0	495.0
152	mmu-miR-214-3p	381.0	373.0	286.0	279.0	452.0	788.0	1731.0	2202.0	2569.0	1220.0	1158.0	815.0	737.0	873.0	889.0	1710.0	688.0	2533.0	4930.0	364.0	387.0
153	mmu-miR-421-3p	262.0	225.0	226.0	157.0	223.0	272.0	319.0	371.0	471.0	243.0	167.0	177.0	28.0	20.0	11.0	328.0	304.0	341.0	469.0	45.0	208.0
154	mmu-miR-652-3p	870.0	969.0	650.0	448.0	752.0	784.0	1298.0	1131.0	1366.0	1023.0	934.0	870.0	550.0	577.0	596.0	1224.0	810.0	1300.0	1662.0	430.0	584.0
155	mmu-miR-532-3p	44.0	60.0	52.0	34.0	65.0	20.0	75.0	79.0	69.0	62.0	55.0	58.0	49.0	38.0	39.0	81.0	55.0	77.0	113.0	35.0	37.0
156	mmu-miR-500-3p	36.0	28.0	32.0	23.0	49.0	32.0	52.0	67.0	81.0	49.0	37.0	54.0	11.0	26.0	30.0	95.0	34.0	62.0	81.0	21.0	36.0
157	mmu-miR-125b-1-3p	184.0	269.0	189.0	148.0	270.0	308.0	448.0	704.0	640.0	337.0	347.0	276.0	226.0	269.0	254.0	502.0	273.0	654.0	860.0	194.0	197.0
158	mmu-miR-3109-3p	13.0	14.0	0.0	17.0	21.0	14.0	17.0	20.0	33.0	17.0	11.0	18.0	0.0	4.0	0.0	24.0	13.0	23.0	24.0	0.0	13.0
159	mmu-miR-132-3p	1699.0	1608.0	1146.0	907.0	1123.0	1828.0	1971.0	2658.0	4547.0	1158.0	1597.0	1147.0	842.0	950.0	608.0	2337.0	1536.0	3442.0	2220.0	871.0	1742.0
