	miRNA	 165_sham 1_R1.fastq	 175_sham 2_R1.fastq	 189_sham 3_R1.fastq	 606_sham 4_R1.fastq	 608_sham 5_R1.fastq	 156_TAC 1_R1.fastq	 157_TAC 2_R1.fastq	 541_TAC 3_R1.fastq	 612_TAC 4_R1.fastq	 631_TAC 5_R1.fastq	 533_TAC+PDE5AI 1_R1.fastq	 536_TAC+PDE5AI 2_R1.fastq	 627_TAC+PDE5AI 3_R1.fastq	 647_TAC+PDE5AI 4_R1.fastq	 697_TAC+PDE5AI 5_R1.fastq	 151_TAC+PDE9AI 1_R1.fastq	 528_TAC+PDE9AI 2_R1.fastq	 529_TAC+PDE9AI 3_R1.fastq	 531_TAC+PDE9AI 4_R1.fastq	 542_TAC+PDE9AI 5_R1.fastq	 676_TAC+PDE9AI 6_R1.fastq
341	mmu-miR-34c-5p	191.0	243.0	217.0	137.0	256.0	526.0	892.0	1552.0	2227.0	791.0	404.0	313.0	40.0	84.0	65.0	1201.0	373.0	1454.0	2156.0	65.0	192.0
342	mmu-miR-140-5p	371.0	276.0	228.0	160.0	259.0	470.0	518.0	665.0	852.0	495.0	147.0	176.0	15.0	18.0	24.0	733.0	386.0	519.0	895.0	20.0	250.0
343	mmu-miR-1934-5p	22.0	20.0	24.0	34.0	32.0	0.0	26.0	31.0	29.0	17.0	19.0	30.0	11.0	10.0	8.0	38.0	14.0	34.0	23.0	8.0	28.0
344	mmu-miR-154-5p	12.0	15.0	16.0	8.0	16.0	24.0	35.0	37.0	41.0	34.0	16.0	21.0	0.0	8.0	2.0	33.0	18.0	44.0	38.0	0.0	11.0
345	mmu-miR-126a-5p	213668.0	145177.0	140970.0	97159.0	126116.0	186699.0	159075.0	135601.0	270193.0	147469.0	15282.0	35497.0	907.0	705.0	741.0	135420.0	183581.0	117647.0	149332.0	1570.0	122973.0
346	mmu-miR-148b-5p	147.0	116.0	110.0	93.0	128.0	46.0	139.0	169.0	269.0	133.0	31.0	64.0	16.0	11.0	8.0	157.0	147.0	150.0	165.0	11.0	124.0
347	mmu-miR-350-5p	83.0	90.0	68.0	42.0	86.0	92.0	117.0	93.0	131.0	74.0	77.0	86.0	52.0	47.0	46.0	97.0	77.0	91.0	138.0	43.0	67.0
348	mmu-miR-99a-5p	7617.0	5412.0	5426.0	3333.0	4864.0	9596.0	8667.0	9378.0	12882.0	7241.0	4400.0	5020.0	1433.0	960.0	450.0	8755.0	6589.0	8882.0	12593.0	1019.0	4975.0
349	mmu-miR-411-5p	1149.0	902.0	850.0	611.0	999.0	2374.0	1950.0	2516.0	3843.0	1569.0	657.0	675.0	146.0	145.0	91.0	2032.0	1123.0	2007.0	3788.0	127.0	798.0
350	mmu-miR-21a-5p	16020.0	15751.0	12473.0	9814.0	14717.0	44628.0	39963.0	67466.0	137223.0	29524.0	3220.0	5022.0	191.0	227.0	362.0	57570.0	27811.0	53172.0	131418.0	314.0	11888.0
351	mmu-miR-155-5p	761.0	623.0	586.0	432.0	512.0	347.0	695.0	558.0	779.0	469.0	431.0	466.0	176.0	154.0	112.0	730.0	557.0	570.0	756.0	181.0	470.0
352	mmu-miR-25-5p	29.0	19.0	17.0	14.0	34.0	15.0	43.0	31.0	31.0	16.0	19.0	28.0	9.0	13.0	14.0	40.0	23.0	26.0	24.0	18.0	26.0
353	mmu-miR-708-5p	22.0	0.0	20.0	0.0	20.0	20.0	20.0	13.0	16.0	13.0	16.0	0.0	0.0	0.0	0.0	22.0	15.0	16.0	25.0	0.0	27.0
354	mmu-miR-193a-5p	14.0	0.0	11.0	9.0	16.0	8.0	13.0	22.0	18.0	11.0	11.0	8.0	13.0	4.0	8.0	17.0	15.0	21.0	15.0	7.0	11.0
355	mmu-miR-145a-5p	3792.0	3229.0	2732.0	1346.0	2738.0	1353.0	4527.0	3643.0	4744.0	3630.0	2743.0	3396.0	1482.0	1325.0	908.0	5491.0	2710.0	3843.0	6358.0	1071.0	2342.0
356	mmu-miR-673-5p	70.0	63.0	51.0	70.0	94.0	102.0	114.0	135.0	134.0	100.0	97.0	79.0	27.0	69.0	51.0	116.0	67.0	154.0	212.0	41.0	65.0
357	mmu-miR-342-5p	20.0	25.0	12.0	16.0	36.0	15.0	23.0	28.0	34.0	13.0	26.0	28.0	8.0	11.0	11.0	27.0	12.0	22.0	38.0	6.0	13.0
358	mmu-miR-24-2-5p	3155.0	2190.0	2249.0	1520.0	2287.0	1455.0	3508.0	4150.0	6401.0	2643.0	940.0	1428.0	165.0	117.0	68.0	3167.0	3284.0	3214.0	4131.0	173.0	2097.0
359	mmu-miR-574-5p	74.0	71.0	61.0	47.0	80.0	81.0	161.0	137.0	152.0	104.0	142.0	94.0	74.0	75.0	80.0	180.0	76.0	131.0	332.0	70.0	58.0
360	mmu-miR-22-5p	670.0	555.0	450.0	271.0	424.0	187.0	622.0	508.0	697.0	501.0	224.0	272.0	21.0	14.0	9.0	574.0	492.0	426.0	720.0	25.0	411.0
361	mmu-miR-30a-5p	331220.0	201498.0	209036.0	141931.0	200522.0	238632.0	216658.0	182710.0	275457.0	182726.0	69568.0	120273.0	13873.0	8582.0	5671.0	206551.0	223893.0	178932.0	263882.0	18190.0	175220.0
362	mmu-miR-1a-1-5p	58.0	42.0	28.0	21.0	36.0	33.0	59.0	38.0	59.0	32.0	6.0	8.0	0.0	0.0	0.0	31.0	35.0	21.0	51.0	0.0	30.0
363	mmu-miR-27b-5p	304.0	249.0	374.0	232.0	262.0	481.0	569.0	723.0	859.0	361.0	255.0	289.0	79.0	70.0	39.0	495.0	425.0	588.0	618.0	117.0	327.0
364	mmu-miR-324-5p	110.0	117.0	66.0	45.0	64.0	111.0	177.0	176.0	190.0	82.0	100.0	96.0	63.0	66.0	70.0	180.0	85.0	161.0	208.0	77.0	64.0
365	mmu-miR-15b-5p	412.0	392.0	298.0	222.0	344.0	227.0	555.0	553.0	748.0	390.0	357.0	389.0	288.0	342.0	256.0	494.0	436.0	617.0	787.0	166.0	272.0
366	mmu-miR-298-5p	71.0	63.0	64.0	44.0	58.0	154.0	159.0	198.0	259.0	81.0	83.0	74.0	61.0	93.0	58.0	121.0	86.0	252.0	235.0	32.0	55.0
367	mmu-miR-181d-5p	1828.0	1638.0	1312.0	895.0	1340.0	1855.0	2079.0	1753.0	2159.0	1335.0	1156.0	1230.0	439.0	456.0	237.0	1580.0	1352.0	1736.0	2668.0	465.0	1193.0
368	mmu-miR-322-5p	6934.0	5388.0	4699.0	3195.0	4723.0	4653.0	7798.0	6733.0	10939.0	5324.0	864.0	1934.0	64.0	45.0	33.0	6812.0	7564.0	5879.0	6957.0	94.0	4708.0
369	mmu-miR-1960	60.0	62.0	48.0	39.0	65.0	32.0	43.0	45.0	43.0	27.0	28.0	47.0	25.0	13.0	9.0	47.0	36.0	34.0	43.0	26.0	48.0
370	mmu-miR-451a	6122.0	1830.0	2999.0	3349.0	3259.0	1770.0	2520.0	3485.0	7764.0	3025.0	710.0	1712.0	66.0	34.0	23.0	1671.0	5625.0	3027.0	3533.0	78.0	3170.0
